time_utc,gate_opening,gate_opening_approval,headwater,headwater_approval,tailwater,tailwater_approval,discharge,discharge_approval
2019-01-01T00:00:00+00:00,0.20,Approved,10.09,Approved,6.69,Approved,54.8,Approved
2019-01-01T00:15:00+00:00,0.20,Approved,10.09,Approved,6.64,Approved,55.2,Approved
2019-01-01T00:30:00+00:00,0.20,Approved,10.08,Approved,6.63,Approved,55.2,Approved
2019-01-01T00:45:00+00:00,0.20,Approved,10.07,Approved,6.65,Approved,55.0,Approved
2019-01-01T01:00:00+00:00,0.20,Approved,10.06,Approved,6.65,Approved,54.9,Approved
2019-01-01T01:15:00+00:00,0.20,Approved,10.06,Approved,6.66,Approved,54.8,Approved
2019-01-01T01:30:00+00:00,0.20,Approved,10.05,Approved,6.64,Approved,54.9,Approved
2019-01-01T01:45:00+00:00,0.20,Approved,10.05,Approved,6.66,Approved,54.7,Approved
2019-01-01T02:00:00+00:00,0.20,Approved,10.05,Approved,6.63,Approved,55.0,Approved
2019-01-01T02:15:00+00:00,0.20,Approved,10.04,Approved,6.58,Approved,55.3,Approved
2019-01-01T02:30:00+00:00,0.20,Approved,10.04,Approved,6.58,Approved,55.3,Approved
2019-01-01T02:45:00+00:00,0.20,Approved,10.04,Approved,6.58,Approved,55.3,Approved
2019-01-01T03:00:00+00:00,0.20,Approved,10.04,Approved,6.56,Approved,55.5,Approved
2019-01-01T03:15:00+00:00,0.20,Approved,10.03,Approved,6.55,Approved,55.5,Approved
2019-01-01T03:30:00+00:00,0.20,Approved,10.03,Approved,6.55,Approved,55.5,Approved
2019-01-01T03:45:00+00:00,0.20,Approved,10.03,Approved,6.55,Approved,55.5,Approved
2019-01-01T04:00:00+00:00,0.20,Approved,10.03,Approved,6.52,Approved,55.7,Approved
2019-01-01T04:15:00+00:00,0.20,Approved,10.03,Approved,6.51,Approved,55.8,Approved
2019-01-01T04:30:00+00:00,0.20,Approved,10.02,Approved,6.51,Approved,55.7,Approved
2019-01-01T04:45:00+00:00,0.20,Approved,10.02,Approved,6.50,Approved,55.8,Approved
2019-01-01T05:00:00+00:00,0.20,Approved,10.02,Approved,6.49,Approved,55.9,Approved
2019-01-01T05:15:00+00:00,0.20,Approved,10.02,Approved,6.53,Approved,55.5,Approved
2019-01-01T05:30:00+00:00,0.20,Approved,10.01,Approved,6.53,Approved,55.5,Approved
2019-01-01T05:45:00+00:00,0.20,Approved,10.01,Approved,6.52,Approved,55.5,Approved
2019-01-01T06:00:00+00:00,0.20,Approved,10.01,Approved,6.52,Approved,55.5,Approved
2019-01-01T06:15:00+00:00,0.20,Approved,10.00,Approved,6.51,Approved,55.5,Approved
2019-01-01T06:30:00+00:00,0.20,Approved,10.00,Approved,6.51,Approved,55.5,Approved
2019-01-01T06:45:00+00:00,0.20,Approved,10.00,Approved,6.50,Approved,55.6,Approved
2019-01-01T07:00:00+00:00,0.20,Approved,10.00,Approved,6.53,Approved,55.4,Approved
2019-01-01T07:15:00+00:00,0.20,Approved,10.00,Approved,6.53,Approved,55.4,Approved
2019-01-01T07:30:00+00:00,0.20,Approved,10.00,Approved,6.47,Approved,55.9,Approved
2019-01-01T07:45:00+00:00,0.20,Approved,9.99,Approved,6.46,Approved,55.9,Approved
2019-01-01T08:00:00+00:00,0.20,Approved,9.99,Approved,6.46,Approved,55.9,Approved
2019-01-01T08:15:00+00:00,0.20,Approved,9.99,Approved,6.45,Approved,55.9,Approved
2019-01-01T08:30:00+00:00,0.20,Approved,9.99,Approved,6.44,Approved,56.0,Approved
2019-01-01T08:45:00+00:00,0.20,Approved,9.99,Approved,6.43,Approved,56.1,Approved
2019-01-01T09:00:00+00:00,0.20,Approved,9.99,Approved,6.44,Approved,56.0,Approved
2019-01-01T09:15:00+00:00,0.20,Approved,10.01,Approved,6.42,Approved,56.3,Approved
2019-01-01T09:30:00+00:00,0.20,Approved,10.03,Approved,6.41,Approved,56.6,Approved
2019-01-01T09:45:00+00:00,0.20,Approved,10.05,Approved,6.40,Approved,56.8,Approved
2019-01-01T10:00:00+00:00,0.20,Approved,10.07,Approved,6.39,Approved,57.0,Approved
2019-01-01T10:15:00+00:00,0.04,Approved,9.93,Approved,6.33,Approved,11.3,Approved
