time_utc,gate_opening,gate_opening_approval,headwater,headwater_approval,tailwater,tailwater_approval,discharge,discharge_approval
2021-01-01T00:00:00+00:00,0.90,Approved,9.49,Approved,6.11,Approved,246,Approved
2021-01-01T00:15:00+00:00,0.90,Approved,9.52,Approved,6.11,Approved,247,Approved
2021-01-01T00:30:00+00:00,0.90,Approved,9.56,Approved,6.08,Approved,250,Approved
2021-01-01T00:45:00+00:00,0.90,Approved,9.55,Approved,6.07,Approved,250,Approved
2021-01-01T01:00:00+00:00,0.90,Approved,9.54,Approved,6.04,Approved,250,Approved
2021-01-01T01:15:00+00:00,0.90,Approved,9.54,Approved,6.02,Approved,251,Approved
2021-01-01T01:30:00+00:00,0.90,Approved,9.53,Approved,6.01,Approved,251,Approved
2021-01-01T01:45:00+00:00,0.90,Approved,9.53,Approved,6.00,Approved,251,Approved
2021-01-01T02:00:00+00:00,0.90,Approved,9.54,Approved,5.99,Approved,252,Approved
2021-01-01T02:15:00+00:00,0.90,Approved,9.54,Approved,5.97,Approved,253,Approved
2021-01-01T02:30:00+00:00,0.90,Approved,9.54,Approved,5.95,Approved,253,Approved
2021-01-01T02:45:00+00:00,0.90,Approved,9.54,Approved,5.95,Approved,253,Approved
2021-01-01T03:00:00+00:00,0.90,Approved,9.54,Approved,5.93,Approved,254,Approved
2021-01-01T03:15:00+00:00,0.90,Approved,9.55,Approved,5.92,Approved,255,Approved
2021-01-01T03:30:00+00:00,0.90,Approved,9.55,Approved,5.92,Approved,255,Approved
2021-01-01T03:45:00+00:00,0.90,Approved,9.55,Approved,5.98,Approved,253,Approved
2021-01-01T04:00:00+00:00,0.90,Approved,9.55,Approved,5.99,Approved,252,Approved
2021-01-01T04:15:00+00:00,0.90,Approved,9.55,Approved,6.01,Approved,252,Approved
2021-01-01T04:30:00+00:00,0.90,Approved,9.55,Approved,6.02,Approved,251,Approved
2021-01-01T04:45:00+00:00,0.90,Approved,9.55,Approved,6.05,Approved,250,Approved
2021-01-01T05:00:00+00:00,0.90,Approved,9.55,Approved,6.07,Approved,250,Approved
2021-01-01T05:15:00+00:00,0.90,Approved,9.55,Approved,6.09,Approved,249,Approved
2021-01-01T05:30:00+00:00,0.90,Approved,9.55,Approved,6.11,Approved,248,Approved
2021-01-01T05:45:00+00:00,0.90,Approved,9.55,Approved,6.03,Approved,251,Approved
2021-01-01T06:00:00+00:00,0.90,Approved,9.55,Approved,6.00,Approved,252,Approved
2021-01-01T06:15:00+00:00,0.90,Approved,9.54,Approved,5.98,Approved,252,Approved
2021-01-01T06:30:00+00:00,0.90,Approved,9.54,Approved,6.02,Approved,251,Approved
2021-01-01T06:45:00+00:00,0.90,Approved,9.53,Approved,6.03,Approved,250,Approved
2021-01-01T07:00:00+00:00,0.90,Approved,9.53,Approved,6.05,Approved,250,Approved
2021-01-01T07:15:00+00:00,0.90,Approved,9.53,Approved,6.06,Approved,249,Approved
2021-01-01T07:30:00+00:00,0.90,Approved,9.52,Approved,6.07,Approved,248,Approved
