date,n,complete,kappa_median_m,kappa_q25_m,kappa_q75_m
2018-04-17,96,1,5.646990,5.645566,5.648398
2018-04-18,96,1,5.646730,5.645551,5.648704
2018-04-19,96,1,5.647973,5.645956,5.649534
2018-04-20,96,1,5.646289,5.645413,5.649504
2018-04-21,96,1,5.647484,5.645350,5.648759
2018-04-22,96,1,5.647706,5.644726,5.649436
2018-04-23,96,1,5.647549,5.644722,5.650354
2018-04-24,96,1,5.647602,5.645699,5.649524
2018-04-25,96,1,5.648030,5.645456,5.648821
2018-04-26,96,1,5.647512,5.645692,5.648905
2018-04-27,96,1,5.647486,5.645906,5.649542
2018-04-28,96,1,5.646566,5.644656,5.647405
2018-04-29,96,1,5.646458,5.644352,5.649826
2018-04-30,96,1,5.648181,5.645180,5.649920
2018-05-01,96,1,5.648188,5.645415,5.650367
2018-05-02,96,1,5.647473,5.645369,5.649898
2018-05-03,96,1,5.646576,5.645217,5.648089
2018-05-04,96,1,5.646845,5.644962,5.648952
2018-05-05,96,1,5.647253,5.646106,5.649319
2018-05-06,96,1,5.647162,5.645196,5.650014
2018-05-07,96,1,5.646800,5.645621,5.648436
2018-05-08,96,1,5.646890,5.645822,5.647898
2018-05-09,95,0,5.646783,5.645760,5.648588
2018-05-10,96,1,5.648389,5.647447,5.649554
2018-05-11,96,1,5.647659,5.645323,5.648561
2018-05-12,96,1,5.647281,5.644528,5.649637
2018-05-13,96,1,5.646831,5.644547,5.649134
2018-05-14,96,1,5.647744,5.645233,5.649924
2018-05-15,96,1,5.647585,5.645807,5.649825
2018-05-16,96,1,5.647059,5.645978,5.649167
2018-05-17,96,1,5.646849,5.644884,5.648063
2018-05-18,96,1,5.647426,5.645581,5.648262
2018-05-19,96,1,5.647448,5.645909,5.649209
2018-05-20,96,1,5.647188,5.644489,5.649547
2018-05-21,96,1,5.646951,5.645048,5.649134
2018-05-22,96,1,5.647636,5.645436,5.650190
2018-05-23,96,1,5.647293,5.645413,5.648099
2018-05-24,96,1,5.646932,5.645438,5.649263
2018-05-25,96,1,5.647036,5.644755,5.649392
2018-05-26,96,1,5.647857,5.645248,5.649167
2018-05-27,96,1,5.648807,5.645179,5.650399
2018-05-28,96,1,5.647315,5.644155,5.650616
2018-05-29,96,1,5.647508,5.646025,5.649170
2018-05-30,95,0,5.648137,5.645493,5.650306
2018-05-31,96,1,5.647447,5.645592,5.649998
2018-06-01,96,1,5.647143,5.645954,5.649167
2018-06-02,96,1,5.647606,5.645629,5.649873
2018-06-03,96,1,5.646882,5.644256,5.649263
2018-06-04,96,1,5.647665,5.644344,5.649870
2018-06-05,96,1,5.647130,5.645293,5.649843
2018-06-06,96,1,5.647426,5.646913,5.648306
2018-06-07,96,1,5.647572,5.646302,5.649980
2018-06-08,96,1,5.647833,5.645828,5.649380
2018-06-09,96,1,5.647787,5.645717,5.650506
2018-06-10,96,1,5.648955,5.644851,5.651555
2018-06-11,96,1,5.647670,5.645810,5.649726
2018-06-12,96,1,5.647553,5.645360,5.649885
2018-06-13,96,1,5.648095,5.645264,5.650055
2018-06-14,96,1,5.647644,5.645105,5.649048
2018-06-15,96,1,5.647595,5.645240,5.649311
2018-06-16,96,1,5.646883,5.645444,5.649092
2018-06-17,96,1,5.647807,5.644436,5.652095
2018-06-18,96,1,5.647619,5.644088,5.651133
2018-06-19,96,1,5.647692,5.646211,5.650023
2018-06-20,96,1,5.647934,5.646046,5.650015
2018-06-21,96,1,5.646723,5.644178,5.649508
2018-06-22,96,1,5.647645,5.646578,5.649772
2018-06-23,96,1,5.647025,5.644282,5.649551
2018-06-24,96,1,5.648050,5.642337,5.653236
2018-06-25,96,1,5.647555,5.644241,5.649921
2018-06-26,96,1,5.647191,5.645468,5.648316
2018-06-27,96,1,5.648584,5.646507,5.649862
2018-06-28,96,1,5.646537,5.645176,5.649091
2018-06-29,96,1,5.647354,5.645330,5.648941
2018-06-30,96,1,5.645542,5.642630,5.649332
2018-07-01,96,1,5.647700,5.643284,5.651194
2018-07-02,96,1,5.648716,5.645067,5.651171
2018-07-03,96,1,5.647268,5.645461,5.649350
2018-07-04,96,1,5.648027,5.645562,5.650207
2018-07-05,96,1,5.647431,5.645247,5.649265
2018-07-06,96,1,5.648486,5.646488,5.650036
2018-07-07,96,1,5.647320,5.644592,5.648976
2018-07-08,96,1,5.648059,5.643962,5.650272
2018-07-09,96,1,5.648097,5.644474,5.652001
2018-07-10,96,1,5.646904,5.644390,5.650671
2018-07-11,96,1,5.647187,5.643003,5.650517
2018-07-12,96,1,5.647961,5.643712,5.652418
2018-07-13,96,1,5.648159,5.642611,5.650940
2018-07-14,96,1,5.647415,5.643490,5.652165
2018-07-15,96,1,5.646057,5.641560,5.652851
2018-07-16,96,1,5.647700,5.644496,5.651431
2018-07-17,96,1,5.647366,5.644539,5.649779
2018-07-18,96,1,5.646717,5.644082,5.650425
2018-07-19,96,1,5.648617,5.640907,5.650433
2018-07-20,96,1,5.646598,5.642743,5.652140
2018-07-21,96,1,5.647612,5.644720,5.651892
2018-07-22,96,1,5.646996,5.642393,5.652068
2018-07-23,96,1,5.646689,5.644372,5.650132
2018-07-24,96,1,5.647842,5.644869,5.650390
2018-07-25,96,1,5.647776,5.645002,5.650476
2018-07-26,96,1,5.648301,5.645603,5.650436
2018-07-27,96,1,5.647301,5.644479,5.649642
2018-07-28,96,1,5.647839,5.644594,5.651013
2018-07-29,96,1,5.649175,5.644728,5.653558
2018-07-30,96,1,5.646272,5.642519,5.649333
2018-07-31,96,1,5.647058,5.643873,5.650448
2018-08-01,96,1,5.647237,5.644156,5.650207
2018-08-02,96,1,5.651233,5.650958,5.651654
2018-08-03,96,1,5.648164,5.644723,5.649579
2018-08-04,96,1,5.648248,5.643017,5.650433
2018-08-05,96,1,5.647869,5.641600,5.650791
2018-08-06,96,1,5.649583,5.644955,5.653046
2018-08-07,96,1,5.647467,5.644213,5.650082
2018-08-08,96,1,5.647562,5.644590,5.649641
2018-08-09,96,1,5.647037,5.644088,5.650119
2018-08-10,96,1,5.647768,5.645622,5.649354
2018-08-11,96,1,5.646682,5.643842,5.648624
2018-08-12,96,1,5.647186,5.645150,5.650266
2018-08-13,95,0,5.647106,5.644963,5.649602
2018-08-14,96,1,5.647218,5.644106,5.649727
2018-08-15,96,1,5.647635,5.644590,5.650511
2018-08-16,96,1,5.647635,5.644999,5.649367
2018-08-17,96,1,5.646076,5.643709,5.649367
2018-08-18,96,1,5.648015,5.643740,5.651204
2018-08-19,96,1,5.648408,5.643831,5.651627
2018-08-20,96,1,5.647745,5.643977,5.651502
2018-08-21,96,1,5.647077,5.644510,5.649669
2018-08-22,96,1,5.646898,5.644407,5.648951
2018-08-23,96,1,5.648044,5.644475,5.650491
2018-08-24,95,0,5.647231,5.644923,5.650809
2018-08-25,96,1,5.647354,5.645705,5.649638
2018-08-26,96,1,5.647271,5.644667,5.650130
