time_utc,rated,procedure,period,gate_opening_m,head_difference_m,q_measured_m3s,q_predicted_m3s,relative_residual
2022-07-01T15:06:57+00:00,Fair,Acoustic Doppler Current Profiler,after,0.877824,0.688848,19.368723,18.924304,-0.022945
2022-09-01T16:21:37+00:00,Fair,Acoustic Doppler Current Profiler,after,0.499872,1.146048,13.025749,13.899877,0.067108
2022-10-06T16:27:35+00:00,Fair,Acoustic Doppler Current Profiler,after,1.030224,0.606552,20.133278,20.840899,0.035147
2022-12-09T17:10:42+00:00,Fair,Acoustic Doppler Current Profiler,after,0.353568,1.072896,10.052481,9.512672,-0.053699
2023-01-10T17:05:02+00:00,Good,Acoustic Doppler Current Profiler,after,0.420624,0.807720,10.165748,9.819180,-0.034092
2023-02-08T19:33:48+00:00,Fair,Acoustic Doppler Current Profiler,after,0.338328,0.978408,8.438420,8.692580,0.030119
2023-03-07T16:01:20+00:00,Fair,Acoustic Doppler Current Profiler,after,0.475488,0.923544,11.978026,11.869136,-0.009091
2023-04-04T17:24:13+00:00,Fair,Acoustic Doppler Current Profiler,after,0.816864,0.762000,18.321000,18.521579,0.010948
2023-05-01T18:44:37+00:00,Good,Acoustic Doppler Current Profiler,after,0.877824,0.637032,17.896247,18.198636,0.016897
2023-06-01T17:38:43+00:00,Good,Acoustic Doppler Current Profiler,after,0.789432,0.822960,18.264366,18.601795,0.018475
2023-08-02T16:49:57+00:00,Good,Acoustic Doppler Current Profiler,after,0.816864,0.850392,19.397040,19.566363,0.008729
2023-10-02T16:36:56+00:00,Good,Acoustic Doppler Current Profiler,after,0.850392,0.673608,18.179416,18.128987,-0.002774
2023-11-01T17:39:40+00:00,Good,Acoustic Doppler Current Profiler,after,0.697992,0.643128,14.668127,14.539515,-0.008768
2023-12-04T17:45:24+00:00,Fair,Acoustic Doppler Current Profiler,after,0.356616,1.048512,9.712678,9.485021,-0.023439
2024-02-01T17:02:43+00:00,Good,Acoustic Doppler Current Profiler,after,0.155448,0.874776,3.851091,3.776455,-0.019380
2024-03-05T17:55:51+00:00,Good,Acoustic Doppler Current Profiler,after,0.947928,0.591312,18.547535,18.933655,0.020818
2024-04-08T17:50:59+00:00,Good,Acoustic Doppler Current Profiler,after,0.701040,0.798576,16.140603,16.272403,0.008166
2024-05-01T16:54:30+00:00,Good,Acoustic Doppler Current Profiler,after,1.289304,0.563880,24.777241,25.147767,0.014954
2024-06-04T20:37:12+00:00,Fair,Acoustic Doppler Current Profiler,after,0.893064,0.746760,19.255456,20.045822,0.041046
2024-07-01T15:37:11+00:00,Good,Acoustic Doppler Current Profiler,after,0.545592,0.853440,13.025749,13.091977,0.005084
2024-08-05T15:52:08+00:00,Fair,Acoustic Doppler Current Profiler,after,0.600456,0.737616,13.308918,13.395135,0.006478
2024-09-03T18:07:31+00:00,Good,Acoustic Doppler Current Profiler,after,0.573024,0.707136,12.600997,12.516273,-0.006724
2024-10-01T15:50:38+00:00,Good,Acoustic Doppler Current Profiler,after,0.911352,0.676656,18.915654,19.472463,0.029436
2024-11-01T16:52:02+00:00,Fair,Acoustic Doppler Current Profiler,after,0.704088,0.725424,15.376048,15.576636,0.013045
2024-12-02T16:54:39+00:00,Fair,Acoustic Doppler Current Profiler,after,0.441960,0.853440,10.760402,10.605233,-0.014420
2025-01-06T18:05:24+00:00,Fair,Acoustic Doppler Current Profiler,after,0.536448,0.646176,11.524957,11.200923,-0.028116
2025-02-03T18:31:21+00:00,Good,Acoustic Doppler Current Profiler,after,0.304800,0.890016,7.645549,7.469037,-0.023087
2025-03-14T17:21:58+00:00,Good,Acoustic Doppler Current Profiler,after,0.384048,1.194816,11.071887,10.904024,-0.015161
2025-04-09T16:53:38+00:00,Fair,Acoustic Doppler Current Profiler,after,1.286256,0.600456,27.212490,25.889208,-0.048628
2025-05-01T15:52:53+00:00,Fair,Acoustic Doppler Current Profiler,after,1.008888,0.655320,21.265952,21.213895,-0.002448
2025-06-16T17:43:54+00:00,Good,Acoustic Doppler Current Profiler,after,0.670560,0.719328,14.696443,14.772428,0.005170
2025-07-07T17:43:05+00:00,Good,Acoustic Doppler Current Profiler,after,0.545592,0.801624,12.685947,12.688320,0.000187
2025-08-12T15:41:58+00:00,Good,Acoustic Doppler Current Profiler,after,0.789432,0.740664,17.867930,17.647212,-0.012353
2025-09-11T16:40:30+00:00,Good,Acoustic Doppler Current Profiler,after,0.768096,0.752856,16.933474,17.311002,0.022295
2025-12-11T17:13:08+00:00,Fair,Acoustic Doppler Current Profiler,after,0.301752,0.609600,6.399607,6.119605,-0.043753
