z0_ft,n,mean_squared_error_log,alpha,beta,gamma_m,free_fraction
3.90500,266024,0.0024075101,0.965888,0.278972,24.143659,0.086398
3.91000,266009,0.0023413738,0.966913,0.283106,24.180531,0.088452
3.91500,266009,0.0024080136,0.965879,0.277994,24.142361,0.088452
3.92000,265993,0.0023331885,0.967050,0.282751,24.184492,0.090536
3.92500,265993,0.0023952020,0.966085,0.277947,24.148856,0.090540
3.93000,265979,0.0023324893,0.967056,0.281770,24.183620,0.092395
3.93500,265979,0.0023907736,0.966146,0.277208,24.149975,0.092395
3.94000,265970,0.0032018596,0.954424,0.228237,23.734289,0.094251
3.94500,265967,0.0024045984,0.965925,0.275212,24.140876,0.094346
3.95000,265953,0.0023450229,0.966874,0.278897,24.174806,0.096479
3.95500,265953,0.0023978546,0.966046,0.274700,24.144152,0.096479
3.96000,265944,0.0023781679,0.966364,0.275567,24.155089,0.098675
3.96500,265944,0.0024379369,0.965434,0.270946,24.120803,0.098690
3.97000,265930,0.0023809573,0.966320,0.274332,24.152453,0.100594
3.97500,265930,0.0024381429,0.965429,0.269881,24.119552,0.100669
3.98000,265917,0.0023892660,0.966196,0.272719,24.146836,0.102731
3.98500,265917,0.0024445955,0.965331,0.268393,24.114941,0.102731
3.99000,265905,0.0024054004,0.965960,0.270596,24.137127,0.104865
3.99500,265905,0.0024617221,0.965082,0.266222,24.104780,0.104865
4.00000,265894,0.0029767374,0.957611,0.235562,23.840190,0.107073
4.00500,265892,0.0024725355,0.964925,0.264465,24.098029,0.107130
4.01000,265878,0.0024186239,0.965769,0.267594,24.128074,0.109415
4.01500,265878,0.0024716669,0.964942,0.263446,24.097568,0.109415
4.02000,265865,0.0024236125,0.965691,0.266159,24.124243,0.111933
4.02500,265865,0.0024712990,0.964944,0.262352,24.096617,0.111933
4.03000,265856,0.0024528216,0.965237,0.263055,24.106690,0.114570
4.03500,265856,0.0025039531,0.964438,0.259044,24.077250,0.114600
